nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm0231409,Faith Domergue,1924,1999,"Actress,  Archive Footage","tt0047577,tt0048215,tt0043131,tt0051247","This Island Earth, It Came from Beneath the Sea, Where Danger Lives, 77 Sunset Strip"
nm0231652,Solveig Dommartin,1961,2007,"Actress,  Director,  Writer","tt0093191,tt0101458,tt0107209,tt0176836","Wings of Desire, Until the End of the World, Faraway, So Close!, It Would Only Take a Bridge"
nm0247754,Francesca Eastwood,1993,\N,Actress,"tt27403986,tt22175098,tt28070202,tt5091530","Juror #2, Clawfoot, Queen of the Ring, M.F.A."
nm0252238,Carmen Ejogo,1973,\N,"Actress,  Producer,  Soundtrack","tt1020072,tt4695012,tt2975578,tt3183660","Selma, It Comes at Night, The Purge: Anarchy, Fantastic Beasts and Where to Find Them"
nm0258402,Mike Epps,1970,\N,"Actor,  Producer,  Writer","tt0318627,tt0293815,tt0432021,tt1119646","Resident Evil: Apocalypse, Friday After Next, Resident Evil: Extinction, The Hangover"
nm0269647,Alice Faye,1915,1998,"Actress,  Soundtrack,  Archive Footage","tt0035982,tt0029852,tt0035916,tt0037691","Hello Frisco, Hello, Alexander's Ragtime Band, The Gang's All Here, Fallen Angel"
nm0274298,Chris Ferreira,\N,\N,"Composer,  Actor,  Art Department","tt0212974,tt2692596,tt2722106,tt0276773","Groove, Painting the Future, My Greatest Teacher, Amerikana"
nm0279273,Doris Fish,1952,1991,"Actress,  Make Up Department,  Writer","tt0103192,tt0190774,tt0086776,tt0263945","Vegas in Space, Sex Wars, Partners in Crime, Rollercoaster to Hell"
nm0284538,Benson Fong,1916,1987,"Actor,  Miscellaneous,  Soundtrack","tt0036983,tt0038056,tt0038080,tt0054885","The Keys of the Kingdom, The Scarlet Clue, The Shanghai Cobra, Flower Drum Song"
nm0290556,James Franco,1978,\N,"Actor,  Producer,  Director","tt2101441,tt3521126,tt1542344,tt0910936","Spring Breakers, The Disaster Artist, 127 Hours, Pineapple Express"
nm0300010,Martin Gabel,1912,1986,"Actor,  Producer,  Director","tt0058329,tt0071524,tt0043560,tt0039583","Marnie, The Front Page, Fourteen Hours, The Lost Moment"
nm0306201,Jorge Garcia,1973,\N,"Actor,  Producer,  Writer","tt0411008,tt0884732,tt2490326,tt2479478","Lost, The Wedding Ringer, Cooties, The Ridiculous 6"
nm0307255,Allen Garfield,1939,2020,"Actor,  Writer,  Soundtrack","tt0092644,tt0071360,tt0073440,tt0268995","Beverly Hills Cop II, The Conversation, Nashville, The Majestic"
nm0307726,Kelli Garner,1984,\N,"Actress,  Costume Department,  Music Department","tt0805564,tt4067076,tt1826805,tt0338751","Lars and the Real Girl, The Secret Life of Marilyn Monroe, Pan Am, The Aviator"
nm0310966,Ari Graynor,1983,\N,"Actress,  Producer,  Soundtrack","tt0981227,tt3521126,tt1172233,tt0770703","Nick and Norah's Infinite Playlist, The Disaster Artist, Whip It, What's Your Number?"
nm0313438,Gladys George,1900,1954,"Actress,  Soundtrack,  Archive Footage","tt0031867,tt0033870,tt0036868,tt0041373","The Roaring Twenties, The Maltese Falcon, The Best Years of Our Lives, Flamingo Road"
nm0330687,Joseph Gordon-Levitt,1981,\N,"Actor,  Producer,  Writer","tt1375666,tt1276104,tt2229499,tt1306980","Inception, Looper, Don Jon, 50/50"
nm0332998,Gibson Gowland,1877,1951,"Actor,  Archive Footage","tt0015881,tt0009937,tt0016220,tt0015268","Greed, Blind Husbands, The Phantom of the Opera, The Red Lily"
nm0342917,Jonathan Groff,\N,\N,"Writer,  Producer,  Actor","tt3487356,tt0106052,tt1587678,tt0787969","Black-ish, Late Night with Conan O'Brien, Happy Endings, The Jake Effect"
nm0345340,Harry Guardino,1925,1995,"Actor,  Soundtrack,  Archive Footage","tt0074483,tt0066999,tt0051745,tt0055047","The Enforcer, Dirty Harry, Houseboat, King of Kings"
nm0350453,Jake Gyllenhaal,1980,\N,"Actor,  Producer,  Camera Department","tt2872718,tt0388795,tt0246578,tt1392214","Nightcrawler, Brokeback Mountain, Donnie Darko, Prisoners"
nm0362766,Tom Hardy,1977,\N,"Actor,  Producer,  Writer","tt1375666,tt1345836,tt2692904,tt1392190","Inception, The Dark Knight Rises, Locke, Mad Max: Fury Road"
nm0364455,Barbara Harris,1935,2018,"Actress,  Soundtrack,  Archive Footage","tt0073440,tt0076054,tt0091738,tt0074512","Nashville, Freaky Friday, Peggy Sue Got Married, Family Plot"
nm0370634,Marc Hayashi,\N,\N,Actor,"tt0091326,tt0083470,tt0081858,tt0125534","The Karate Kid Part II, Remington Steele, Falcon Crest, The Taming of the Shrew"
nm0371040,Helen Hayes,1900,1993,"Actress,  Soundtrack,  Archive Footage","tt0065377,tt0022386,tt0048947,tt0071607","Airport, The Sin of Madelon Claudet, Anastasia, Herbie Rides Again"
nm0380965,Jean Hersholt,1886,1956,"Actor,  Director,  Assistant Director","tt0015881,tt0018613,tt0018451,tt0028988","Greed, Abie's Irish Rose, The Student Prince in Old Heidelberg, Heidi"
nm0385757,Pat Hingle,1924,2009,"Actor,  Producer,  Soundtrack","tt0114214,tt0091499,tt0096895,tt0118688","The Quick and the Dead, Maximum Overdrive, Batman, Batman & Robin"
nm0386472,Emile Hirsch,1985,\N,"Actor,  Writer,  Producer","tt0758758,tt0811080,tt0265208,tt1093357","Into the Wild, Speed Racer, The Girl Next Door, The Darkest Hour"
nm0388317,David Hodo,1947,\N,"Actor,  Archive Footage","tt0080492,tt0092400,tt0476104,tt0075529","Can't Stop the Music, Married... with Children, New York, New York, The Love Boat"
nm0402358,Brad Hunt,\N,\N,"Actor,  Producer","tt2477518,tt6517320,tt0119019,tt0233481","Alex/October, Too Old to Die Young, Dream with the Fishes, Cookers"
nm0425005,Dwayne Johnson,1972,\N,"Actor,  Producer,  Writer","tt6443346,tt2283362,tt1397514,tt1469304","Black Adam, Jumanji: Welcome to the Jungle, Journey 2: The Mysterious Island, Baywatch"
nm0427231,Al Jolson,1886,1950,"Actor,  Composer,  Miscellaneous","tt0018037,tt0019388,tt0360717,tt0026418","The Jazz Singer, The Singing Fool, King Kong, Go Into Your Dance"
nm0427894,Dean Jones,1931,2015,"Actor,  Music Department,  Soundtrack","tt0064603,tt0109444,tt0103786,tt0061135","The Love Bug, Clear and Present Danger, Beethoven, The Ugly Dachshund"
nm0429213,Sarah Jones,1973,\N,"Actress,  Producer,  Writer","tt12979626,tt7653254,tt0215545,tt20412788","Sell/Buy/Date, Marriage Story, Bamboozled, #yesimsarahjones"
nm0445290,Robert Keith,1890,1966,"Actor,  Archive Footage","tt0048140,tt0049966,tt0047688,tt0050738","Guys and Dolls, Written on the Wind, Young at Heart, My Man Godfrey"
nm0466428,Jacob Kornbluth,1972,\N,"Producer,  Director,  Writer","tt2215151,tt0389796,tt2963070,tt0273253","Inequality for All, The Best Thief in the World, Years of Living Dangerously, Haiku Tunnel"
nm0466430,Josh Kornbluth,1959,\N,"Actor,  Writer,  Producer","tt0273253,tt0108065,tt0116669,tt3596382","Haiku Tunnel, Searching for Bobby Fischer, Jack, Love & Taxes"
nm0472151,Anne Kronenberg,\N,\N,\N,"tt0088275,tt11610268,tt1883265,tt8632800","The Times of Harvey Milk, Visible: Out on Television, Milk: Hollywood Comes to San Francisco, Gay Power"
nm0477088,Nancy Kwan,1939,\N,"Actress,  Make Up Department,  Producer","tt0054483,tt0070926,tt0106770,tt0054885","The World of Suzie Wong, Wonder Women, Dragon: The Bruce Lee Story, Flower Drum Song"
nm0481709,Leon Lai,1966,\N,"Actor,  Director,  Music Department","tt0112913,tt0117905,tt0386590,tt0179110","Fallen Angels, Comrades: Almost a Love Story, Leaving Me, Loving You, City of Glass"
nm0491402,Hugh Laurie,1959,\N,"Actor,  Producer,  Writer","tt0412142,tt1964418,tt0377062,tt1485749","House, Tomorrowland, Flight of the Phoenix, Mr. Pip"
nm0492345,Katrina Law,1985,\N,"Actress,  Writer,  Producer","tt2193021,tt2959536,tt1442449,tt4532368","Arrow, Apparition, Spartacus, DC's Legends of Tomorrow"
nm0494432,Paul Le Mat,1945,\N,"Actor,  Cinematographer,  Producer","tt0069704,tt0081150,tt0079576,tt0098143","American Graffiti, Melvin and Howard, More American Graffiti, Puppet Master"
nm0497891,Michele Lee,1942,\N,"Actress,  Director,  Producer","tt0078638,tt0064603,tt0061791,tt0343135","Knots Landing, The Love Bug, How to Succeed in Business Without Really Trying, Along Came Polly"
nm0500359,Laura Leighton,1968,\N,"Actress,  Producer,  Archive Footage","tt0103491,tt0203259,tt0364008,tt1578873","Melrose Place, Law & Order: Special Victims Unit, Skin, Pretty Little Liars"
nm0506870,Sara Lewinstein,\N,\N,Camera Department,"tt0097099,tt0156910,tt0388574,tt27958096","Common Threads: Stories from the Quilt, Pride Divide, America Undercover, Lesbians: The Invisible Minority"
nm0515116,Blake Lively,1987,\N,"Actress,  Producer,  Director","tt0397442,tt1655441,tt0840361,tt4052882","Gossip Girl, The Age of Adaline, The Town, The Shallows"
nm0515260,John Livingston,1970,\N,"Actor,  Soundtrack,  Archive Footage","tt0422783,tt0113957,tt3138104,tt0131369","Music Within, The Net, The Hungover Games, Edtv"
nm0516800,Sondra Locke,1944,2018,"Actress,  Director,  Producer","tt0077523,tt0080472,tt0086383,tt0075029","Every Which Way But Loose, Bronco Billy, Sudden Impact, The Outlaw Josey Wales"
nm0517820,Lindsay Lohan,1986,\N,"Actress,  Producer,  Music Department","tt0377092,tt0120783,tt0322330,tt0897361","Mean Girls, The Parent Trap, Freaky Friday, I Know Who Killed Me"
nm0519225,Victor Wong,1906,1972,"Actor,  Archive Footage","tt0024593,tt0023670,tt0034021,tt0030736","Son of Kong, War Correspondent, The Phantom Submarine, Shadows Over Shanghai"
nm0524197,Josh Lucas,1971,\N,"Actor,  Producer,  Cinematographer","tt1950186,tt0256415,tt0385726,tt4236770","Ford v Ferrari, Sweet Home Alabama, Glory Road, Yellowstone"
nm0526485,William Lundigan,1914,1975,"Actor,  Soundtrack,  Archive Footage","tt0041746,tt0043667,tt0040631,tt0032020","Pinky, I'd Climb the Highest Mountain, Mystery in Mexico, They Asked for It"
nm0531776,Jeanette MacDonald,1903,1965,"Actress,  Soundtrack,  Archive Footage","tt0034565,tt0031121,tt0028216,tt0025493","Cairo, Broadway Serenade, San Francisco, The Merry Widow"
nm0534045,Fred MacMurray,1908,1991,"Actor,  Producer,  Soundtrack","tt0036775,tt0053604,tt0046816,tt0057518","Double Indemnity, The Apartment, The Caine Mutiny, Son of Flubber"
nm0541723,David Mandell,\N,\N,"Actor,  Camera Department,  Miscellaneous","tt0279158,tt0258697,tt0113508,tt0355570","Justine: In the Heat of Passion, Justine: Seduction of Innocence, Justine: Exotic Liaisons, Playboy: Inside the Playboy Mansion"
nm0546755,Janet Margolin,1943,1993,"Actress,  Archive Footage","tt0055892,tt0097428,tt0075686,tt0065063","David and Lisa, Ghostbusters II, Annie Hall, Take the Money and Run"
nm0551102,Peter Marshall,1926,2024,"Actor,  Writer,  Soundtrack","tt0059995,tt0083564,tt0075515,tt0064372","The Hollywood Squares (Daytime), Annie, Harold Robbins' 79 Park Avenue, Black Jack"
nm0552767,Matthew Martin,\N,\N,"Miscellaneous,  Camera Department","tt1217209,tt0910970,tt0317705,tt0317219","Brave, WALL·E, The Incredibles, Cars"
nm0559144,Marlee Matlin,1965,\N,"Actress,  Producer,  Director","tt10366460,tt0090830,tt0203259,tt0103512","CODA, Children of a Lesser God, Law & Order: Special Victims Unit, Picket Fences"
nm0564219,May McAvoy,1899,1984,"Actress,  Archive Footage","tt0018037,tt0016641,tt0014335,tt0013289","The Jazz Singer, Ben-Hur: A Tale of the Christ, Only 38, Kick In"
nm0570192,Dorothy McGuire,1916,2001,"Actress,  Soundtrack,  Archive Footage","tt0039416,tt0074048,tt0050798,tt0053320","Gentleman's Agreement, Rich Man, Poor Man, Old Yeller, A Summer Place"
nm0579734,Tigr,1957,\N,"Actress,  Production Manager,  Miscellaneous","tt0082824,tt0139593,tt0183815,tt0091323","Nothing to Hide, Scoundrels, Star Angel, Kamikaze Hearts"
nm0580565,Burgess Meredith,1907,1997,"Actor,  Writer,  Director","tt0082186,tt0075148,tt0079817,tt0084602","Clash of the Titans, Rocky, Rocky II, Rocky III"
nm0587548,Harvey Milk,1930,1978,"Actor,  Archive Footage","tt0138355,tt6637140,tt10584892","Chafed Elbows, News Talk, Hope"
nm0588183,David Miller,1909,1992,"Director,  Writer,  Producer","tt0051015,tt0047625,tt0034742,tt0049578","The Story of Esther Costello, Twist of Fate, Flying Tigers, The Opposite Sex"
nm0589077,Omar Benson Miller,1978,\N,"Actor,  Producer,  Director","tt2891574,tt0298203,tt1046997,tt0358135","Ballers, 8 Mile, Miracle at St. Anna, Shall We Dance?"
nm0593664,Radha Mitchell,1973,\N,"Actress,  Producer,  Director","tt0134847,tt0384537,tt0328107,tt0479528","Pitch Black, Silent Hill, Man on Fire, Rogue"
nm0593722,Sharon Mitchell,1956,\N,"Actress,  Director,  Production Manager","tt0127875,tt0126515,tt0144329,tt0191437","Sexcapades, Night Hunger, Moonglow, She's So Fine!"
nm0601376,Joel David Moore,1977,\N,"Actor,  Producer,  Director","tt0499549,tt1630029,tt0364725,tt3687316","Avatar, Avatar: The Way of Water, Dodgeball: A True Underdog Story, Youth in Oregon"
nm0601552,Mandy Moore,\N,\N,Actress,tt0082936,Shen tan guang tou mei
nm0610337,Wood Moy,1918,2017,"Actor,  Archive Footage","tt0077745,tt0091225,tt0083728,tt0083437","Invasion of the Body Snatchers, Howard the Duck, Chan Is Missing, Knight Rider"
nm0611898,Martin Mull,1943,2024,"Actor,  Miscellaneous,  Writer","tt0088930,tt0116705,tt0085970,tt1103153","Clue, Jingle All the Way, Mr. Mom, Killers"
nm0625167,Barry Nelson,1917,2007,"Actor,  Soundtrack,  Archive Footage","tt0081505,tt0065377,tt0035959,tt0049212","The Shining, Airport, A Guy Named Joe, The First Traveling Saleslady"
nm0634749,Tommy Noonan,1921,1968,"Actor,  Writer,  Producer","tt0045810,tt0057428,tt0049034,tt0047522","Gentlemen Prefer Blondes, Promises..... Promises!, Bundle of Joy, A Star Is Born"
nm0638395,France Nuyen,1939,\N,"Actress,  Archive Footage","tt0069768,tt0107282,tt0052225,tt0060028","Battle for the Planet of the Apes, The Joy Luck Club, South Pacific, Star Trek"
nm0639529,Edmond O'Brien,1915,1985,"Actor,  Director,  Producer","tt0056217,tt0046754,tt0058576,tt0042369","The Man Who Shot Liberty Valance, The Barefoot Contessa, Seven Days in May, D.O.A."
nm0641454,Dennis O'Keefe,1908,1968,"Actor,  Writer,  Director","tt0037557,tt0039881,tt0036104,tt0034303","Brewster's Millions, T-Men, The Leopard Man, Topper Returns"
nm0641939,Ryan O'Neal,1941,2023,"Actor,  Producer,  Soundtrack","tt0066011,tt0070510,tt0069495,tt0072684","Love Story, Paper Moon, What's Up, Doc?, Barry Lyndon"
nm0644406,Nick Offerman,1970,\N,"Actor,  Producer,  Music Department","tt3581920,tt1266020,tt8134186,tt1723121","The Last of Us, Parks and Recreation, Devs, We're the Millers"
nm0644897,Sandra Oh,1971,\N,"Actress,  Producer,  Writer","tt7016936,tt0375063,tt0413573,tt0328589","Killing Eve, Sideways, Grey's Anatomy, Under the Tuscan Sun"
nm0645941,Warner Oland,1879,1938,"Actor,  Soundtrack,  Archive Footage","tt0026199,tt0021668,tt0026198,tt0027442","Charlie Chan in Shanghai, The Black Camel, Charlie Chan in Paris, Charlie Chan's Secret"
nm0647634,Elizabeth Olsen,1989,\N,"Actress,  Producer,  Soundtrack","tt1441326,tt9419884,tt5362988,tt4154756","Martha Marcy May Marlene, Doctor Strange in the Multiverse of Madness, Wind River, Avengers: Infinity War"
nm0654110,Clive Owen,1964,\N,"Actor,  Producer,  Soundtrack","tt0206634,tt0376541,tt0280707,tt0454848","Children of Men, Closer, Gosford Park, Inside Man"
nm0658339,Lilli Palmer,1914,1986,"Actress,  Writer,  Soundtrack","tt0048948,tt0044631,tt0038417,tt0032406","Anastasia: The Czar's Last Daughter, The Four Poster, Cloak and Dagger, Chamber of Horrors"
nm0666739,Aaron Paul,1979,\N,"Actor,  Producer,  Miscellaneous","tt0903747,tt9243946,tt2369135,tt0844708","Breaking Bad, El Camino, Need for Speed, The Last House on the Left"
nm0682361,Guy Pierce,\N,\N,Actor,"tt0129717,tt0065597,tt0907287","Softly Softly, Cry of the Banshee, You and the World"
nm0686032,Zasu Pitts,1894,1963,"Actress,  Soundtrack,  Archive Footage","tt0015881,tt0057193,tt0026955,tt0032847","Greed, It's a Mad Mad Mad Mad World, Ruggles of Red Gap, No, No, Nanette"
nm0687189,Suzanne Pleshette,1937,2008,"Actress,  Soundtrack,  Archive Footage","tt0056869,tt0068049,tt0245429,tt0056424","The Birds, The Bob Newhart Show, Spirited Away, Rome Adventure"
nm0688132,Amy Poehler,1971,\N,"Actress,  Producer,  Writer","tt2096673,tt0871426,tt1266020,tt0072562","Inside Out, Baby Mama, Parks and Recreation, Saturday Night Live"
nm0694619,Stefanie Powers,\N,\N,"Actress,  Producer,  Writer","tt0078622,tt0059988,tt0057298,tt0071607","Hart to Hart, The Girl from U.N.C.L.E., McLintock!, Herbie Rides Again"
nm0699063,Dorothy Provine,1935,2010,"Actress,  Soundtrack,  Archive Footage","tt0059243,tt0057193,tt0060783,tt0059793","The Great Race, It's a Mad Mad Mad Mad World, One Spy Too Many, That Darn Cat!"
nm0701012,Edna Purviance,1895,1958,"Actress,  Archive Footage","tt0014624,tt0008133,tt0012349,tt0017575","A Woman of Paris: A Drama of Fate, The Immigrant, The Kid, A Woman of the Sea"
nm0703349,Ginger Quest,\N,\N,Actress,tt0103192,Vegas in Space
nm0704270,Zachary Quinto,1977,\N,"Actor,  Producer,  Writer","tt0796366,tt1615147,tt2660888,tt1408101","Star Trek, Margin Call, Star Trek Beyond, Star Trek Into Darkness"
nm0710829,Anthony Rapp,1971,\N,"Actor,  Producer,  Director","tt0294870,tt0106677,tt0268978,tt0092513","Rent, Dazed and Confused, A Beautiful Mind, Adventures in Babysitting"
nm0713389,Tania Raymonde,1988,\N,"Actress,  Director,  Writer","tt0411008,tt4687880,tt11946300","Lost, Goliath, Deep Blue Sea 3"
nm0728812,Thelma Ritter,1902,1969,"Actress,  Soundtrack,  Archive Footage","tt0047396,tt0042192,tt0043792,tt0046187","Rear Window, All About Eve, The Mating Season, Pickup on South Street"
nm0731074,Emma Roberts,\N,\N,Actress,"tt0313121,tt0115976,tt0804503,tt0138899","Revelations, Crimetime, Mad Men, An Unsuitable Job for a Woman"
nm0731634,Tony Roberts,1939,\N,"Actor,  Soundtrack,  Archive Footage","tt0069097,tt0072251,tt0075686,tt0070666","Play It Again, Sam, The Taking of Pelham One Two Three, Annie Hall, Serpico"
nm0735467,Paul Rodriguez,1955,\N,"Actor,  Writer,  Producer","tt0309377,tt0250687,tt0412080,tt1014775","Blood Work, Rat Race, The World's Fastest Indian, Beverly Hills Chihuahua"
nm0736622,Seth Rogen,1982,\N,"Producer,  Actor,  Writer","tt1245492,tt0829482,tt0910936,tt1700841","This Is the End, Superbad, Pineapple Express, Sausage Party"
nm0741219,Adam Rose,1987,\N,"Actor,  Writer,  Director","tt9770286,tt7555294,tt5580540,tt1193138","Merry Happy Whatever, L.A.'s Finest, Santa Clarita Diet, Up in the Air"
nm0741377,Felipe Rose,1954,\N,"Actor,  Soundtrack,  Music Artist","tt0116130,tt0080492,tt0092400,tt0075529","Down Periscope, Can't Stop the Music, Married... with Children, The Love Boat"
nm0748620,Paul Rudd,1969,\N,"Actor,  Producer,  Writer","tt0478970,tt5095030,tt1155056,tt1659337","Ant-Man, Ant-Man and the Wasp, I Love You, Man, The Perks of Being a Wallflower"
nm0749263,Mark Ruffalo,1967,\N,"Actor,  Producer,  Writer","tt1895587,tt0842926,tt0848228,tt1100089","Spotlight, The Kids Are All Right, The Avengers, Foxcatcher"
nm0752751,Mitchell Ryan,1934,2022,"Actor,  Soundtrack,  Archive Footage","tt0119229,tt0113253,tt0119528,tt0093409","Grosse Pointe Blank, Halloween: The Curse of Michael Myers, Liar Liar, Lethal Weapon"
nm0765597,Peter Sarsgaard,1971,\N,"Actor,  Producer,  Archive Footage","tt0323944,tt0333766,tt0362269,tt2334873","Shattered Glass, Garden State, Kinsey, Blue Jasmine"
nm0766005,Will Sasso,1975,\N,"Actor,  Writer,  Producer","tt0383010,tt0116483,tt0157503,tt0405336","The Three Stooges, Happy Gilmore, Drop Dead Gorgeous, Southland Tales"
nm0777156,Ben Schwartz,\N,\N,Actor,tt0063984,The Activist
nm0785227,Andy Serkis,1964,\N,"Actor,  Producer,  Director","tt3450958,tt1318514,tt2103281,tt0167261","War for the Planet of the Apes, Rise of the Planet of the Apes, Dawn of the Planet of the Apes, The Lord of the Rings: The Two Towers"
nm0792130,Ann Sheridan,1915,1967,"Actress,  Producer,  Soundtrack","tt0034946,tt0033149,tt0039666,tt0037273","Kings Row, They Drive by Night, Nora Prentiss, Shine on Harvest Moon"
nm0793363,James Shigeta,1929,2014,"Actor,  Soundtrack,  Archive Footage","tt0095016,tt0052713,tt0120762,tt0074899","Die Hard, The Crimson Kimono, Mulan, Midway"
nm0801163,Ray Simpson,1952,\N,"Actor,  Archive Footage","tt0080492,tt0092400,tt0476104,tt0075529","Can't Stop the Music, Married... with Children, New York, New York, The Love Boat"
nm0806041,Everett Sloane,1909,1965,"Actor,  Director,  Writer","tt0033467,tt0040525,tt0049601,tt0049778","Citizen Kane, The Lady from Shanghai, Patterns, Somebody Up There Likes Me"
nm0807252,Alexis Smith,1921,1993,"Actress,  Soundtrack,  Archive Footage","tt0106226,tt0035751,tt0037611,tt0034778","The Age of Innocence, The Constant Nymph, Conflict, Gentleman Jim"
nm0808949,Kent Smith,1907,1985,"Actor,  Soundtrack,  Archive Footage","tt0034587,tt0038975,tt0041386,tt0039666","Cat People, The Spiral Staircase, The Fountainhead, Nora Prentiss"
nm0819782,Rick Springfield,1949,\N,"Actor,  Composer,  Director","tt0141606,tt1231587,tt0904208,tt0118749","Mission: Magic!, Hot Tub Time Machine, Californication, Boogie Nights"
nm0828328,Connie Stevens,1938,\N,"Actress,  Director,  Producer","tt0052472,tt0052141,tt0084021,tt0131418","Hawaiian Eye, Rock-a-Bye Baby, Grease 2, A Healing"
nm0838938,Elizabeth Sun,\N,\N,Actress,"tt0212974,tt7491982,tt13821126,tt1042499","Groove, FBI, Extrapolations, Filth and Wisdom"
nm0839486,Ethan Suplee,1976,\N,"Actor,  Writer,  Soundtrack","tt0210945,tt0251160,tt0118842,tt0289879","Remember the Titans, John Q, Chasing Amy, The Butterfly Effect"
nm0842794,Loretta Swit,1937,\N,"Actress,  Soundtrack,  Archive Footage","tt0068098,tt0085231,tt0092211,tt0083015","M*A*S*H, The Best Christmas Pageant Ever, Whoops Apocalypse, S.O.B."
nm0850795,Craig Tsuyumine,\N,\N,Actor,"tt1468756,tt0058796,tt0247087,tt0480239","Your Kid Ate What?, Days of Our Lives, The District, Atlas Shrugged: Part I"
nm0864851,Kenneth Tobey,1917,2002,"Actor,  Archive Footage","tt0044121,tt0093260,tt0080339,tt0048215","The Thing from Another World, Innerspace, Airplane!, It Came from Beneath the Sea"
nm0866835,David Tomlinson,1917,2000,"Actor,  Soundtrack,  Archive Footage","tt0058331,tt0066817,tt0064603,tt0057590","Mary Poppins, Bedknobs and Broomsticks, The Love Bug, Tom Jones"
nm0878768,Aisha Tyler,1970,\N,"Actress,  Producer,  Director","tt1486217,tt3743822,tt4971346,tt0452046","Archer, Fear the Walking Dead, Axis, Criminal Minds"
nm0893257,Milo Ventimiglia,1977,\N,"Actor,  Producer,  Director","tt0813715,tt5555260,tt1034032,tt0964539","Heroes, This Is Us, Gamer, Pathology"
nm0908919,Eli Wallach,1915,2014,"Actor,  Producer,  Miscellaneous","tt0060196,tt0054047,tt0048973,tt0457939","The Good, the Bad and the Ugly, The Magnificent Seven, Baby Doll, The Holiday"
nm0910497,David Walton,\N,\N,"Camera Department,  Special Effects","tt0113140,tt0103278,tt0362446,tt0360714","Galaxis, Wizards of the Demon Sword, Beyond Expectations, Kid Safe: The Video"
nm0910607,Christoph Waltz,1956,\N,"Actor,  Producer,  Director","tt1853728,tt0361748,tt2333804,tt1692486","Django Unchained, Inglourious Basterds, The Zero Theorem, Carnage"
nm0912001,Jack Warden,1920,2006,"Actor,  Soundtrack,  Archive Footage","tt0078718,tt0050083,tt0114924,tt0074119","And Justice for All, 12 Angry Men, While You Were Sleeping, All the President's Men"
nm0913475,John David Washington,1984,\N,"Actor,  Producer,  Soundtrack","tt6723592,tt7349662,tt12676326,tt11858890","Tenet, BlacKkKlansman, Malcolm & Marie, The Creator"
nm0915208,Naomi Watts,1968,\N,"Actress,  Producer,  Soundtrack","tt0166924,tt0360717,tt2562232,tt1649419","Mulholland Drive, King Kong, Birdman or (The Unexpected Virtue of Ignorance), The Impossible"
nm0917848,Robin Weigert,1969,\N,"Actress,  Director,  Producer","tt0348914,tt0383028,tt0452624,tt1866249","Deadwood, Synecdoche, New York, The Good German, The Sessions"
nm0917962,Liza Weil,1977,\N,"Actress,  Soundtrack,  Archive Footage","tt0238784,tt0259288,tt0164181,tt1053880","Gilmore Girls, Dragonfly, Stir of Echoes, Little Fish, Strange Pond"
nm0931324,Michael Kenneth Williams,1966,2021,"Actor,  Producer,  Miscellaneous","tt0306414,tt2024544,tt2094766,tt0979432","The Wire, 12 Years a Slave, Assassin's Creed, Boardwalk Empire"
nm0933723,Kristen Wilson,1969,\N,Actress,"tt0118998,tt0190374,tt0115783,tt0351977","Doctor Dolittle, Dungeons & Dragons, Bulletproof, Walking Tall"
nm0943974,John Wynn,\N,\N,"Camera Department,  Actor,  Sound Department","tt0044211,tt0057242,tt0048662,tt0049706","Whispering Smith vs. Scotland Yard, Ladybug Ladybug, Storm Over the Nile, Safari"
nm0943978,Keenan Wynn,1916,1986,"Actor,  Stunts,  Soundtrack","tt0057012,tt0042200,tt0039853,tt0084237","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Annie Get Your Gun, Song of the Thin Man, The Last Unicorn"
nm0944320,Miss X,\N,\N,"Actress,  Writer,  Art Department","tt0103192,tt0190774,tt0272417,tt0230953","Vegas in Space, Sex Wars, Up All Night, Virtue"
nm0944464,Yu Xia,1978,\N,"Actor,  Director,  Writer","tt0446755,tt0111786,tt2720826,tt0470390","The Painted Veil, In the Heat of the Sun, Birth of the Dragon, The Law of Romance"
nm1002641,Dominic Cooper,1978,\N,"Actor,  Producer,  Soundtrack","tt1270262,tt0458339,tt1655420,tt1611224","The Devil's Double, Captain America: The First Avenger, My Week with Marilyn, Abraham Lincoln: Vampire Hunter"
nm10046323,Patrick Gibson,\N,\N,Miscellaneous,tt8839656,Lonely à la Mode
nm1026219,John Snowden,\N,\N,Actor,"tt1024652,tt0849988,tt1195875,tt0995833","Hippie Hippie Shake, Holby Blue, 10 Days to War, Rescue Emergency"
nm1033193,Mageina Tovah,\N,\N,"Actress,  Director,  Writer","tt0316654,tt4254242,tt4778586,tt0413300","Spider-Man 2, The Magicians, Hux, Spider-Man 3"
nm10334911,Philip Ng,\N,\N,\N,\N,
nm1036574,Silas Howard,1967,\N,"Director,  Producer,  Writer","tt8518136,tt7562112,tt6078096,tt3502262","Dickinson, Pose, High Maintenance, Transparent"
nm1055413,Michael Fassbender,1977,\N,"Actor,  Producer,  Executive","tt1723811,tt1446714,tt1270798,tt2080374","Shame, Prometheus, X-Men: First Class, Steve Jobs"
nm1065664,Stana Katic,1978,\N,"Actress,  Producer,  Director","tt1219024,tt1786751,tt1648201,tt0831887","Castle, CBGB, For Lovers Only, The Spirit"
nm10866438,Adam Devine,\N,\N,Actor,tt4773360,Shura no Toki: Age of Chaos
